"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"MH1,MH3,MH4,MH2";"Mounting_Hole_Drill-3.3mm_Clerance-7mm";4;"Drill(3.3mm)/Restrict(7.00mm)";;;
2;"R84,R101,R15,R103,R52,R76,R33,R40,R85,R32,R71,R51,R44,R31,R74,R1,R41,R45,R34";"R_0402_5MIL_DWS";19;"2.2k/R0402";;;
3;"R53,R54";"R_0402_5MIL_DWS";2;"150R/R0402";;;
4;"R48,R66,R63,R60,R59,R62,R61,R64,R65,R49";"R_0402_5MIL_DWS";10;"270R/R0402";;;
5;"FID5,FID6,FID4";"Fiducial1x3";3;"Fiducial";;;
6;"FID2,FID3,FID1";"Fiducial1x3_Paste";3;"Fiducial";;;
7;"C53,C8,C4,C13,C61,C27,C70,C5,C29,C24,C10,C7,C11,C12,C6,C83,C9,C18,C54,C47,C43,C16,C1,C73,C59";"C_0402_5MIL_DWS";25;"100nF/10V/20%/X5R/C0402";;;
8;"BOOT1,RST1";"YTS-A016-X";2;"YTS-A016-X";;;
9;"SWD1,POT1";"HN1x3";2;"NA(HN1x3)";;;
10;"DVI1";"HDMI-SWM-19_Paste";1;"HDMI-SWM-19";;;
11;"R11,R10";"R_0402_5MIL_DWS";2;"27R/R0402";;;
12;"C45,C39,C34,C33";"C_0603_5MIL_DWS";4;"NA(22uF/6.3V/20%/X5R/C0603)";;;
13;"C65,C78,C60,C77,C68,C2,C58,C87,C63,C62,C76,C82,C79,C72,C69,C84";"C_0402_5MIL_DWS";16;"1uF/6.3V/10%/X5R/C0402";;;
14;"R80,R25";"R_0402_5MIL_DWS";2;"220k/R0402";;;
15;"R24";"R_0402_5MIL_DWS";1;"1.05k/1%/R0402";;;
16;"R38,R35,R72,R29,R90,R87,R86,R89,R88";"R_0402_5MIL_DWS";9;"4.7k/R0402";;;
17;"USB_HOST1-2,USB_HOST3-4";"USB_TWO_LEVEL";2;"USBB1-FRWH-4A(USB-Ax2)";;;
18;"LED_HOST4,LED_HOST3,LED1,LED_HOST1,LED_HOST2";"LED_0603_KA";5;"LED/GREEN/0603";;;
19;"U1";"SO-8_208mil";1;"W25Q128JVSIQ(SOIC-8_208mils)";;;
20;"FB1,FB3,FB2,L7,L1,FB4,L5";"L_0805_5MIL_DWS";7;"FB0805/600R/2A";;;
21;"R99";"R_0805_5MIL_DWS";1;"100R/R0805";;;
22;"C89,C40,C86,C67,C41";"C_0805_5MIL_DWS";5;"NA(47uF/6.3V/20%/X5R/C0805)";;;
23;"C52,C22,C51,C21,C55";"C_0402_5MIL_DWS";5;"27pF/50V/5%/C0G/C0402";;;
24;"C15,C14,C20,C19,C17";"C_0402_5MIL_DWS";5;"4.7uF/10V/20%/X5R/C0402";;;
25;"U4";"SOT-563-6";1;"TPS62A02ADRLR(SOT-563-6)";;;
26;"Line-In1,HEADSETS1";"PJ-W47S-05D2-LF_5PIN_V2_LongerPads";2;"PJ-W47S-05D2-LF";;;
27;"R2,R5,R39";"R_0603_5MIL_DWS";3;"NA(0R/R0603)";;;
28;"C85,C71,C88,C48,C56,C26,C28,C25";"C_0402_5MIL_DWS";8;"10uF/6.3V/20%/X5R/C0402";;;
29;"R46,R97,R79,R92,R47,R93,R50,R94,R8";"R_0402_5MIL_DWS";9;"33R/R0402";;;
30;"R95";"R_0402_5MIL_DWS";1;"NA(4.7k/R0402)";;;
31;"FET2,FET5,FET4,FET6,FET3";"SOT23";5;"BSS138(SOT23-3)";;;
32;"C44,C32,C80,C46,C23";"C_0805_5MIL_DWS";5;"47uF/6.3V/20%/X5R/C0805";;;
33;"MICRO_SD1";"TFC-WPAPR-08";1;"TFC-WPAPR-08-LF";;;
34;"C35,C38,C75,C66,C64,C74,C42,C36";"C_0603_5MIL_DWS";8;"22uF/6.3V/20%/X5R/C0603";;;
35;"R70,R58,R17,R14";"R_0402_5MIL_DWS";4;"5.1k/1%/R0402";;;
36;"U2";"SOT-23-5";1;"TP4054-42-SOT25-R(SOT23-5)";;;
37;"LSPK1,RSPK1";"PH2.0-2PWB";2;"PH2.0-2PWB";;;
38;"R27,R20,R56,R68,R81,R6,R30,R28,R57,R16,R21,R78,R77,R82,R69,R3";"R_0402_5MIL_DWS";16;"10k/R0402";;;
39;"L6";"L_0805_5MIL_DWS";1;"NA(FB0805/600R/2A)";;;
40;"CHARGING1";"LED_0603_KA";1;"LED/YELLOW/0603";;;
41;"D7";"SMA-KA";1;"NA(1N5822/SS34/SMA)";;;
42;"UEXT1,UEXT2";"GBH-254-SMT-10";2;"P-B-V-10-LF";;;
43;"C93,C90,C81,C91";"C_0402_5MIL_DWS";4;"270pF/50V/5%/C0G/C0402";;;
44;"U10";"SO-8";1;"APS6404L-3SQR-SN(SOIC-8_150mils)";;;
45;"U9";"SO-8_208mil";1;"NA(W25Q128JVSIQ(SOIC-8_208mils))";;;
46;"R37,R36";"R_0402_5MIL_DWS";2;"470k/R0402";;;
47;"GND1";"TEST_PAD40x70_SQUARE";1;"TESTPAD";;;
48;"R55";"R_0402_5MIL_DWS";1;"NA/R0402";;;
49;"EXT1";"HN1x6";1;"NA(HN1x6)";;;
50;"C94,C3";"C_0402_5MIL_DWS";2;"NA(100nF/10V/20%/X5R/C0402)";;;
51;"T2";"SOT23";1;"LMUN2111LT1G(SOT-23)";;;
52;"C92";"C_0402_5MIL_DWS";1;"NA(1uF/6.3V/10%/X5R/C0402)";;;
53;"R83,R75";"R_0402_5MIL_DWS";2;"27k/R0402";;;
54;"U6";"SSOP28_10x4mm_Pitch_0.64mm";1;"FE1.1s(SSOP-28)";;;
55;"D4,D3,D1,D2";"SMA-KA";4;"1N5822/SS34/SMA";;;
56;"Act/Sus1,PWR_LED1";"LED_0603_KA";2;"LED/RED/0603";;;
57;"T1,T3,T4";"SOT23";3;"LMUN2235LT1G(SOT-23)";;;
58;"U7";"SOT23-6";1;"MT3608(SOT23-6)";;;
59;"R13,R18,R104,R91,R42";"R_0402_5MIL_DWS";5;"1k/R0402";;;
60;"U5";"SOT23-6";1;"CH217K(SOT23-6L)";;;
61;"R9";"R_0402_5MIL_DWS";1;"200R/1%/R0402";;;
62;"R43,R4,R67";"R_0603_5MIL_DWS";3;"0R/R0603";;;
63;"R102,R100,R7";"R_0402_5MIL_DWS";3;"NA(10k/R0402)";;;
64;"Q2,Q1";"TSX-3.2x2.5mm_GND(3)";2;"Q12MHz/18pF/30ppm/4P/3.2x2.5mm(ABM8-12.000MHZ-D2Y-T)";;;
65;"R12";"R_0402_5MIL_DWS";1;"1.3R/1%/R0402";;;
66;"USB-PGM1,USB-PWR1";"USB2.0_TYPE-C(A40-00119-A52-12)_Paste";2;"USB-C-16P-F(A40-00119-A52-12)";;;
67;"FET1";"SOT23";1;"IRLML6402TRPbF";;;
68;"RM1";"RA0805_(4X0402)_xx_BIGGEROUTPADS";1;"RA0805_(4X0402)_33R";;;
69;"C49,C50";"C_0402_5MIL_DWS";2;"20pF/50V/5%/NP0/C0402";;;
70;"D5,D6,D8";"SOD-123_1C-2A_KA";3;"1N5819S4/SOD123";;;
71;"R22";"R_0402_5MIL_DWS";1;"2.7k/1%/R0402";;;
72;"R73";"R_0402_5MIL_DWS";1;"10R/R0402";;;
73;"C30,C31";"C_0402_5MIL_DWS";2;"NA(27pF/50V/5%/C0G/C0402)";;;
74;"L2";"L_2016_MM";1;"3.3uH/2.0A/DCR=140mR/20%/2.00x1.60x1.00mm/L2016(PIM201610-3R3MTS00)";;;
75;"R26,R19";"R_0402_5MIL_DWS";2;"49.9k/1%/R0402";;;
76;"PWR_ON/OFF1";"SS-12D11G5";1;"SS-12D11G5";;;
77;"R96,R98";"R_0402_5MIL_DWS";2;"NA(33R/R0402)";;;
78;"U11";"SO-16";1;"PAM8003DR(SO-16)";;;
79;"C37";"C_0402_5MIL_DWS";1;"NA(120pF/50V/5%/C0G/C0402)";;;
80;"U8";"QFN-20_EP(21)_3x3x0.6mm_Pitch_0.4mm";1;"ES8311(QFN-20)";;;
81;"R23";"R_0402_5MIL_DWS";1;"8.25k/1%/R0402";;;
82;"L4";"L_2016_MM";1;"1.0uH/4.2A/DCR=35mR/20%/2.00x1.60x1.00mm/L2016(PIM201610-1R0MTS00)";;;
83;"L3";"CD42(43)";1;"4.7uH/2.33A/DCR=70mR/20%/CD43(NRS4018T4R7MDGJ)";;;
84;"BAT1";"PH2.0-2AT(BAT)";1;"PH2.0-2AT";;;
85;"U3";"QFN-80_10.00x10.00x0.90mm_P0.4mm";1;"RP2350B(QFN-80_10.00x10.00x0.90mm_P0.4mm)";;;
86;"C57";"C_0402_5MIL_DWS";1;"NA(10uF/6.3V/20%/X5R/C0402)";;;
87;"VR1";"SOT-23-5";1;"AP1231-3.3V(SOT23-5)";;;
88;"HSDA1,HSCL1,+5V_USB1,GNDA1,GND2,VBUS1,+5V1,+5VA1,+1V1,+3.3VA1,VBAT1,+3.3V1";"TESTPAD_40-ROUND";12;"TESTPAD";;;
89;"AMP_SHDN_E1";"SJ";1;"Opened";;;
